course_number,course_name,course_supervisor(s),days1,times1,days2,times2,ta_assigned,ta_needed,workload_1,workload_2,workload_3,workload_4
MATH:2560:0103,Engineer Math IV: Differential Equations,Instructors:Isabel Darcy(Primary Instructor),MWF,8:30A - 9:20A,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0104,Engineer Math IV: Differential Equations,,MWF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0121,Engineer Math IV: Differential Equations,Instructors:Isabel Darcy(Primary Instructor),MWF,9:30A - 10:20A,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0131,Engineer Math IV: Differential Equations,Instructors:Olga Sokratova(Primary Instructor),MWF,2:30P - 3:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0132,Engineer Math IV: Differential Equations,Instructors:Olga Sokratova(Primary Instructor),MWF,1:30P - 2:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2700:0101,Introduction to Linear Algebra,Instructors:David Stewart(Primary Instructor),MWThF,4:30P - 5:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2700:0111,Introduction to Linear Algebra,Instructors:David Stewart(Primary Instructor),MWThF,1:30P - 2:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2700:0112,Introduction to Linear Algebra,Instructors:David Stewart(Primary Instructor),MWThF,2:30P - 3:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2850:0091,Calculus III,Instructors:Oguz Durumeric(Primary Instructor),MWThF,9:30A - 10:20A,,,,0,1.0,1.0,0.5,0.5
MATH:2850:0101,Calculus III,Instructors:Oguz Durumeric(Primary Instructor),MWThF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:3550:0102,Engineering Math V: Vector Calculus,Instructors:Bruce Ayati(Primary Instructor),MWF,10:30A - 11:20A,,,,0,1.0,1.0,0.5,0.5
MATH:3550:0121,Engineering Math V: Vector Calculus,Instructors:Tong Li(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
MATH:3550:0231,Engineering Math V: Vector Calculus,Instructors:Tong Li(Primary Instructor),MWF,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:3600:0001,Intro to Ordinary Differential Equations,Instructors:Yangyang Wang(Primary Instructor),MWF,2:30P - 3:20P,,,,0,1.0,1.0,0.5,0.5
