course_number,course_name,times,days,instructors
MATH:1460:0332,Calculus for the Biological Sciences,3:30P - 4:20P,TTh,"Instructors:Jessa Rhea(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0431,Calculus for the Biological Sciences,2:00P - 2:50P,TTh,"Instructors:Jessa Rhea(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0432,Calculus for the Biological Sciences,5:00P - 5:50P,TTh,"Instructors:Fatou Ndow(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1550:000A,Engineer Math I Single Variable Calculus,10:30A - 11:20A,MWF,"Instructors:Cynthia Farthing(Primary Instructor)"
MATH:1550:000B,Engineer Math I Single Variable Calculus,12:30P - 1:20P,MWF,"Instructors:Cynthia Farthing(Primary Instructor)"
MATH:1550:0071,Engineer Math I Single Variable Calculus,7:30A - 8:20A,TTh,"Instructors:Sam Holen(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0082,Engineer Math I Single Variable Calculus,8:30A - 9:20A,TTh,"Instructors:Praneel Samanta(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0083,Engineer Math I Single Variable Calculus,8:30A - 9:20A,TTh,"Instructors:Garrett Mason(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0091,Engineer Math I Single Variable Calculus,9:30A - 10:20A,TTh,"Instructors:Sam Holen(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0111,Engineer Math I Single Variable Calculus,5:00P - 5:50P,TTh,"Instructors:Umesh Arampath(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0112,Engineer Math I Single Variable Calculus,11:00A - 11:50A,TTh,"Instructors:Garrett Mason(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0131,Engineer Math I Single Variable Calculus,12:30P - 1:20P,TTh,"Instructors:Dylan Johnson(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0132,Engineer Math I Single Variable Calculus,12:30P - 1:20P,TTh,"Instructors:Cynthia Farthing(Course Supervisor)"
MATH:1550:0134,Engineer Math I Single Variable Calculus,2:00P - 2:50P,TTh,"Instructors:Dylan Johnson(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0135,Engineer Math I Single Variable Calculus,2:00P - 2:50P,TTh,"Instructors:Praneel Samanta(Primary Instructor),Cynthia Farthing(Course Supervisor)"
MATH:1550:0331,Engineer Math I Single Variable Calculus,3:30P - 4:20P,TTh,"Instructors:Cynthia Farthing(Course Supervisor)"
MATH:1560:0AAA,Engineer Math II: Multivariable Calculus,12:30P - 1:20P,MWF,"Instructors:Walter Seaman(Primary Instructor)"
MATH:1560:0A01,Engineer Math II: Multivariable Calculus,2:30P - 3:20P,TTh,"Instructors:Jacob Van Grinsven(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1560:0A03,Engineer Math II: Multivariable Calculus,12:30P - 1:20P,TTh,"Instructors:Joey Small(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1560:0A04,Engineer Math II: Multivariable Calculus,9:30A - 10:20A,TTh,"Instructors:Joey Small(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1560:0A05,Engineer Math II: Multivariable Calculus,1:30P - 2:20P,TTh,"Instructors:Jose Beltran Lizarazo(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1560:0A07,Engineer Math II: Multivariable Calculus,11:30A - 12:20P,TTh,"Instructors:Jose Beltran Lizarazo(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1560:0A09,Engineer Math II: Multivariable Calculus,8:30A - 9:20A,TTh,"Instructors:Jacob Van Grinsven(Primary Instructor),Walter Seaman(Course Supervisor)"
MATH:1850:0CCC,Calculus I,2:30P - 3:20P,MWF,"Instructors:Richard Baker(Primary Instructor)"
MATH:1850:0C07,Calculus I,8:30A - 9:20A,TTh,"Instructors:Margarita Bustos Gonzalez(Primary Instructor),Richard Baker(Course Supervisor)"
MATH:1850:0C08,Calculus I,9:30A - 10:20A,TTh,"Instructors:Margarita Bustos Gonzalez(Primary Instructor),Richard Baker(Course Supervisor)"
MATH:1850:0DDD,Calculus I,9:30A - 10:20A,MWF,"Instructors:Rodica Curtu(Primary Instructor)"
MATH:1850:0D09,Calculus I,9:30A - 10:20A,TTh,"Instructors:Bryanna Petentler(Primary Instructor),Rodica Curtu(Course Supervisor)"
MATH:1850:0D10,Calculus I,5:00P - 5:50P,TTh,"Instructors:Bryanna Petentler(Primary Instructor),Rodica Curtu(Course Supervisor)"
MATH:1850:0FFF,Calculus I,1:30P - 2:20P,MWF,"Instructors:Richard Baker(Primary Instructor)"
MATH:1850:0F12,Calculus I,8:30A - 9:20A,TTh,"Instructors:Nicholas Cecil(Primary Instructor),Richard Baker(Course Supervisor)"
